gene_id,gene_name
ENSG00000105697.9,HAMP
ENSG00000105698.16,USF2
ENSG00000105699.16,LSR
ENSG00000105700.11,KXD1
ENSG00000105701.16,FKBP8
ENSG00000105705.16,SUGP1
ENSG00000105707.14,HPN
ENSG00000105708.9,ZNF14
ENSG00000105711.13,SCN1B
ENSG00000105717.14,PBX4
ENSG00000105722.10,ERF
ENSG00000105723.13,GSK3A
ENSG00000105726.17,ATP13A1
ENSG00000105732.13,ZNF574
ENSG00000105737.9,GRIK5
ENSG00000105738.11,SIPA1L3
ENSG00000105750.15,ZNF85
ENSG00000105755.8,ETHE1
ENSG00000105767.3,CADM4
ENSG00000105771.14,SMG9
ENSG00000105778.19,AVL9
ENSG00000105784.15,RUNDC3B
ENSG00000105792.19,CFAP69
ENSG00000105793.16,GTPBP10
ENSG00000105808.18,RASA4
ENSG00000105810.10,CDK6
ENSG00000105819.14,PMPCB
ENSG00000105821.15,DNAJC2
ENSG00000105825.14,TFPI2
ENSG00000105829.13,BET1
ENSG00000105835.12,NAMPT
ENSG00000105849.6,POLR1F
ENSG00000105851.11,PIK3CG
ENSG00000105852.11,PON3
ENSG00000105854.13,PON2
ENSG00000105855.10,ITGB8
ENSG00000105856.14,HBP1
ENSG00000105865.11,DUS4L
ENSG00000105866.15,SP4
ENSG00000105875.14,WDR91
ENSG00000105877.18,DNAH11
ENSG00000105879.12,CBLL1
ENSG00000105880.7,DLX5
ENSG00000105887.11,MTPN
ENSG00000105889.16,STEAP1B
ENSG00000105894.12,PTN
ENSG00000105926.16,MPP6
ENSG00000105928.16,GSDME
ENSG00000105929.16,ATP6V0A4
ENSG00000105939.13,ZC3HAV1
ENSG00000105948.13,TTC26
ENSG00000105953.15,OGDH
ENSG00000105963.15,ADAP1
ENSG00000105967.16,TFEC
ENSG00000105968.19,H2AZ2
ENSG00000105971.15,CAV2
ENSG00000105974.13,CAV1
ENSG00000105976.16,MET
ENSG00000105982.17,RNF32
ENSG00000105983.22,LMBR1
ENSG00000105988.6,NHP2P1
ENSG00000105989.10,WNT2
ENSG00000105991.10,HOXA1
ENSG00000105993.15,DNAJB6
ENSG00000105996.7,HOXA2
ENSG00000105997.22,HOXA3
ENSG00000106003.13,LFNG
ENSG00000106004.5,HOXA5
ENSG00000106006.6,HOXA6
ENSG00000106009.16,BRAT1
ENSG00000106012.18,IQCE
ENSG00000106013.15,ANKRD7
ENSG00000106018.14,VIPR2
ENSG00000106025.9,TSPAN12
ENSG00000106028.11,SSBP1
ENSG00000106031.9,HOXA13
ENSG00000106034.18,CPED1
ENSG00000106038.13,EVX1
ENSG00000106049.9,HIBADH
ENSG00000106052.13,TAX1BP1
ENSG00000106066.15,CPVL
ENSG00000106069.23,CHN2
ENSG00000106070.20,GRB10
ENSG00000106077.18,ABHD11
ENSG00000106078.19,COBL
ENSG00000106080.11,FKBP14
ENSG00000106086.20,PLEKHA8
ENSG00000106089.12,STX1A
ENSG00000106100.11,NOD1
ENSG00000106105.15,GARS1
ENSG00000106113.19,CRHR2
ENSG00000106123.12,EPHB6
ENSG00000106125.14,MINDY4
ENSG00000106128.19,GHRHR
ENSG00000106133.18,NSUN5P2
ENSG00000106144.20,CASP2
ENSG00000106153.13,CHCHD2
ENSG00000106178.7,CCL24
ENSG00000106211.10,HSPB1
ENSG00000106236.4,NPTX2
ENSG00000106244.13,PDAP1
ENSG00000106245.11,BUD31
ENSG00000106246.18,PTCD1
ENSG00000106258.15,CYP3A5
ENSG00000106261.17,ZKSCAN1
ENSG00000106263.18,EIF3B
ENSG00000106266.11,SNX8
ENSG00000106268.15,NUDT1
ENSG00000106278.12,PTPRZ1
ENSG00000106290.15,TAF6
ENSG00000106299.8,WASL
ENSG00000106302.10,HYAL4
ENSG00000106304.15,SPAM1
ENSG00000106305.10,AIMP2
ENSG00000106327.13,TFR2
ENSG00000106328.10,FSCN3
ENSG00000106330.12,MOSPD3
ENSG00000106331.17,PAX4
ENSG00000106333.13,PCOLCE
ENSG00000106336.13,FBXO24
ENSG00000106341.11,PPP1R17
ENSG00000106344.8,RBM28
ENSG00000106346.11,USP42
ENSG00000106348.18,IMPDH1
ENSG00000106351.13,AGFG2
ENSG00000106355.10,LSM5
ENSG00000106366.9,SERPINE1
ENSG00000106367.15,AP1S1
ENSG00000106384.12,MOGAT3
ENSG00000106392.11,C1GALT1
ENSG00000106397.12,PLOD3
ENSG00000106399.11,RPA3
ENSG00000106400.12,ZNHIT1
ENSG00000106404.14,CLDN15
ENSG00000106410.15,NOBOX
ENSG00000106415.13,GLCCI1
ENSG00000106436.7,MYL10
ENSG00000106443.17,PHF14
ENSG00000106459.15,NRF1
ENSG00000106460.19,TMEM106B
ENSG00000106462.11,EZH2
ENSG00000106477.20,CEP41
ENSG00000106479.11,ZNF862
ENSG00000106483.12,SFRP4
ENSG00000106484.16,MEST
ENSG00000106511.6,MEOX2
ENSG00000106524.9,ANKMY2
ENSG00000106526.10,ACTR3C
ENSG00000106536.21,POU6F2
ENSG00000106537.8,TSPAN13
ENSG00000106538.10,RARRES2
ENSG00000106541.12,AGR2
ENSG00000106546.14,AHR
ENSG00000106554.13,CHCHD3
ENSG00000106560.11,GIMAP2
ENSG00000106565.18,TMEM176B
ENSG00000106571.15,GLI3
ENSG00000106588.12,PSMA2
ENSG00000106591.4,MRPL32
ENSG00000106603.19,COA1
ENSG00000106605.11,BLVRA
ENSG00000106608.17,URGCP
ENSG00000106609.16,TMEM248
ENSG00000106610.15,STAG3L4
ENSG00000106615.10,RHEB
ENSG00000106617.15,PRKAG2
ENSG00000106624.11,AEBP1
ENSG00000106628.11,POLD2
ENSG00000106631.8,MYL7
ENSG00000106633.17,GCK
ENSG00000106635.8,BCL7B
ENSG00000106636.9,YKT6
ENSG00000106638.17,TBL2
ENSG00000106648.14,GALNTL5
ENSG00000106665.16,CLIP2
ENSG00000106682.15,EIF4H
ENSG00000106683.15,LIMK1
ENSG00000106686.16,SPATA6L
ENSG00000106688.12,SLC1A1
ENSG00000106689.11,LHX2
ENSG00000106692.15,FKTN
ENSG00000106701.13,FSD1L
ENSG00000106714.17,CNTNAP3
ENSG00000106723.17,SPIN1
ENSG00000106733.21,NMRK1
ENSG00000106771.13,TMEM245
ENSG00000106772.18,PRUNE2
ENSG00000106780.9,MEGF9
ENSG00000106785.15,TRIM14
ENSG00000106789.13,CORO2A
ENSG00000106799.13,TGFBR1
ENSG00000106803.10,SEC61B
ENSG00000106804.8,C5
ENSG00000106809.11,OGN
ENSG00000106819.13,ASPN
ENSG00000106823.12,ECM2
ENSG00000106829.20,TLE4
ENSG00000106852.15,LHX6
ENSG00000106853.20,PTGR1
ENSG00000106868.17,SUSD1
ENSG00000106927.12,AMBP
ENSG00000106948.17,AKNA
ENSG00000106952.7,TNFSF8
ENSG00000106976.21,DNM1
ENSG00000106991.14,ENG
ENSG00000106992.19,AK1
ENSG00000106993.12,CDC37L1
ENSG00000107014.9,RLN2
ENSG00000107018.8,RLN1
ENSG00000107020.10,PLGRKT
ENSG00000107021.16,TBC1D13
ENSG00000107036.12,RIC1
ENSG00000107077.19,KDM4C
ENSG00000107099.16,DOCK8
ENSG00000107104.20,KANK1
ENSG00000107105.15,ELAVL2
ENSG00000107130.10,NCS1
ENSG00000107140.16,TESK1
ENSG00000107147.14,KCNT1
ENSG00000107159.13,CA9
ENSG00000107164.16,FUBP3
ENSG00000107165.13,TYRP1
ENSG00000107175.12,CREB3
ENSG00000107185.10,RGP1
ENSG00000107186.17,MPDZ
ENSG00000107187.17,LHX3
ENSG00000107201.10,DDX58
ENSG00000107223.13,EDF1
ENSG00000107242.20,PIP5K1B
ENSG00000107249.23,GLIS3
ENSG00000107262.26,BAG1
ENSG00000107263.18,RAPGEF1
ENSG00000107281.10,NPDC1
ENSG00000107282.8,APBA1
ENSG00000107290.14,SETX
ENSG00000107295.10,SH3GL2
ENSG00000107317.13,PTGDS
ENSG00000107331.17,ABCA2
ENSG00000107338.10,SHB
ENSG00000107341.5,UBE2R2
ENSG00000107362.14,ABHD17B
ENSG00000107371.14,EXOSC3
ENSG00000107372.13,ZFAND5
ENSG00000107404.20,DVL1
ENSG00000107438.9,PDLIM1
ENSG00000107443.16,CCNJ
ENSG00000107447.8,DNTT
ENSG00000107485.18,GATA3
ENSG00000107518.18,ATRNL1
ENSG00000107521.19,HPS1
ENSG00000107537.14,PHYH
ENSG00000107551.21,RASSF4
ENSG00000107554.17,DNMBP
ENSG00000107560.12,RAB11FIP2
ENSG00000107562.16,CXCL12
ENSG00000107566.14,ERLIN1
ENSG00000107581.13,EIF3A
ENSG00000107593.17,PKD2L1
ENSG00000107611.16,CUBN
ENSG00000107614.22,TRDMT1
ENSG00000107625.13,DDX50
ENSG00000107643.16,MAPK8
ENSG00000107651.13,SEC23IP
ENSG00000107669.18,ATE1
ENSG00000107672.15,NSMCE4A
ENSG00000107679.14,PLEKHA1
ENSG00000107719.9,PALD1
ENSG00000107731.12,UNC5B
ENSG00000107736.21,CDH23
ENSG00000107738.20,VSIR
ENSG00000107742.13,SPOCK2
ENSG00000107745.19,MICU1
ENSG00000107758.16,PPP3CB
ENSG00000107771.17,CCSER2
ENSG00000107779.14,BMPR1A
ENSG00000107789.16,MINPP1
ENSG00000107796.13,ACTA2
ENSG00000107798.18,LIPA
ENSG00000107807.13,TLX1
ENSG00000107815.10,TWNK
ENSG00000107816.17,LZTS2
ENSG00000107819.13,SFXN3
ENSG00000107821.15,KAZALD1
ENSG00000107829.15,FBXW4
ENSG00000107831.13,FGF8
ENSG00000107833.10,NPM3
ENSG00000107854.6,TNKS2
ENSG00000107859.10,PITX3
ENSG00000107862.6,GBF1
ENSG00000107863.18,ARHGAP21
ENSG00000107864.15,CPEB3
ENSG00000107872.13,FBXL15
ENSG00000107874.11,CUEDC2
ENSG00000107882.12,SUFU
ENSG00000107890.17,ANKRD26
ENSG00000107897.20,ACBD5
ENSG00000107902.14,LHPP
ENSG00000107929.15,LARP4B
ENSG00000107937.19,GTPBP4
ENSG00000107938.18,EDRF1
ENSG00000107949.17,BCCIP
ENSG00000107951.15,MTPAP
ENSG00000107954.10,NEURL1
ENSG00000107957.16,SH3PXD2A
ENSG00000107959.17,PITRM1
ENSG00000107960.11,STN1
ENSG00000107968.10,MAP3K8
ENSG00000107984.10,DKK1
ENSG00000108001.15,EBF3
ENSG00000108010.12,GLRX3
ENSG00000108018.15,SORCS1
ENSG00000108021.20,TASOR2
ENSG00000108039.18,XPNPEP1
ENSG00000108055.10,SMC3
ENSG00000108061.12,SHOC2
ENSG00000108064.11,TFAM
ENSG00000108091.11,CCDC6
ENSG00000108094.16,CUL2
ENSG00000108100.18,CCNY
ENSG00000108106.14,UBE2S
ENSG00000108107.15,RPL28
ENSG00000108175.17,ZMIZ1
ENSG00000108176.15,DNAJC12
ENSG00000108179.14,PPIF
ENSG00000108187.16,PBLD
ENSG00000108219.15,TSPAN14
ENSG00000108231.14,LGI1
ENSG00000108239.9,TBC1D12
ENSG00000108242.13,CYP2C18
ENSG00000108244.17,KRT23
ENSG00000108255.8,CRYBA1
ENSG00000108256.9,NUFIP2
ENSG00000108262.16,GIT1
ENSG00000108298.12,RPL19
ENSG00000108306.13,FBXL20
ENSG00000108309.14,RUNDC3A
ENSG00000108312.15,UBTF
ENSG00000108342.13,CSF3
ENSG00000108344.15,PSMD3
ENSG00000108349.17,CASC3
ENSG00000108352.13,RAPGEFL1
ENSG00000108370.17,RGS9
ENSG00000108375.13,RNF43
ENSG00000108379.10,WNT3
ENSG00000108381.11,ASPA
ENSG00000108384.15,RAD51C
ENSG00000108387.15,SEPTIN4
ENSG00000108389.9,MTMR4
ENSG00000108395.14,TRIM37
ENSG00000108405.4,P2RX1
ENSG00000108406.10,DHX40
ENSG00000108417.4,KRT37
ENSG00000108423.15,TUBD1
ENSG00000108424.11,KPNB1
ENSG00000108433.17,GOSR2
ENSG00000108439.11,PNPO
ENSG00000108443.14,RPS6KB1
ENSG00000108448.21,TRIM16L
ENSG00000108452.1,ZNF29P
ENSG00000108465.15,CDK5RAP3
ENSG00000108468.15,CBX1
ENSG00000108469.15,RECQL5
ENSG00000108474.17,PIGL
ENSG00000108479.12,GALK1
ENSG00000108506.13,INTS2
ENSG00000108509.21,CAMTA2
ENSG00000108510.10,MED13
ENSG00000108511.10,HOXB6
ENSG00000108515.18,ENO3
ENSG00000108518.8,PFN1
ENSG00000108523.16,RNF167
ENSG00000108528.14,SLC25A11
ENSG00000108551.5,RASD1
ENSG00000108556.10,CHRNE
ENSG00000108557.19,RAI1
ENSG00000108559.12,NUP88
ENSG00000108561.8,C1QBP
ENSG00000108576.10,SLC6A4
ENSG00000108578.15,BLMH
ENSG00000108582.12,CPD
ENSG00000108587.16,GOSR1
ENSG00000108588.14,CCDC47
ENSG00000108590.11,MED31
ENSG00000108591.10,DRG2
ENSG00000108592.17,FTSJ3
ENSG00000108599.15,AKAP10
ENSG00000108602.18,ALDH3A1
ENSG00000108604.16,SMARCD2
ENSG00000108622.11,ICAM2
ENSG00000108639.8,SYNGR2
ENSG00000108641.19,B9D1
ENSG00000108651.10,UTP6
ENSG00000108654.16,DDX5
ENSG00000108666.10,C17orf75
ENSG00000108669.16,CYTH1
ENSG00000108671.11,PSMD11
ENSG00000108679.13,LGALS3BP
ENSG00000108684.15,ASIC2
ENSG00000108688.11,CCL7
ENSG00000108691.9,CCL2
ENSG00000108700.5,CCL8
ENSG00000108702.4,CCL1
ENSG00000108733.11,PEX12
ENSG00000108759.4,KRT32
ENSG00000108771.13,DHX58
ENSG00000108773.11,KAT2A
ENSG00000108774.15,RAB5C
ENSG00000108784.10,NAGLU
ENSG00000108785.7,HSD17B1P1
ENSG00000108786.11,HSD17B1
ENSG00000108788.12,MLX
ENSG00000108797.12,CNTNAP1
ENSG00000108798.9,ABI3
ENSG00000108799.13,EZH1
ENSG00000108813.11,DLX4
ENSG00000108819.11,PPP1R9B
ENSG00000108821.14,COL1A1
ENSG00000108823.16,SGCA
ENSG00000108826.16,MRPL27
ENSG00000108828.16,VAT1
ENSG00000108829.10,LRRC59
ENSG00000108830.10,RND2
ENSG00000108839.12,ALOX12
ENSG00000108840.15,HDAC5
ENSG00000108846.16,ABCC3
ENSG00000108848.16,LUC7L3
ENSG00000108849.8,PPY
ENSG00000108852.15,MPP2
ENSG00000108854.16,SMURF2
ENSG00000108861.9,DUSP3
ENSG00000108878.5,CACNG1
ENSG00000108883.13,EFTUD2
ENSG00000108924.14,HLF
ENSG00000108932.12,SLC16A6
ENSG00000108946.15,PRKAR1A
ENSG00000108947.5,EFNB3
ENSG00000108950.12,FAM20A
ENSG00000108953.17,YWHAE
ENSG00000108958.4,AC130689.1
ENSG00000108960.9,MMD
ENSG00000108961.14,RANGRF
ENSG00000108963.19,DPH1
ENSG00000108984.15,MAP2K6
ENSG00000109016.17,DHRS7B
ENSG00000109046.15,WSB1
ENSG00000109047.8,RCVRN
ENSG00000109061.10,MYH1
ENSG00000109062.12,SLC9A3R1
ENSG00000109063.15,MYH3
ENSG00000109065.12,NAT9
ENSG00000109066.14,TMEM104
ENSG00000109072.14,VTN
ENSG00000109079.10,TNFAIP1
ENSG00000109083.14,IFT20
ENSG00000109084.14,TMEM97
ENSG00000109089.7,CDR2L
ENSG00000109099.16,PMP22
ENSG00000109101.8,FOXN1
ENSG00000109103.12,UNC119
ENSG00000109107.14,ALDOC
ENSG00000109111.15,SUPT6H
ENSG00000109113.20,RAB34
ENSG00000109118.14,PHF12
ENSG00000109132.7,PHOX2B
ENSG00000109133.13,TMEM33
ENSG00000109158.11,GABRA4
ENSG00000109163.7,GNRHR
ENSG00000109171.15,SLAIN2
ENSG00000109180.15,OCIAD1
ENSG00000109181.12,UGT2B10
ENSG00000109182.12,CWH43
ENSG00000109184.15,DCUN1D4
ENSG00000109189.13,USP46
ENSG00000109193.12,SULT1E1
ENSG00000109205.16,ODAM
ENSG00000109220.11,CHIC2
ENSG00000109255.11,NMU
ENSG00000109265.14,CRACD
ENSG00000109270.13,LAMTOR3
ENSG00000109272.4,PF4V1
ENSG00000109320.13,NFKB1
ENSG00000109321.11,AREG
ENSG00000109323.11,MANBA
ENSG00000109332.20,UBE2D3
ENSG00000109339.24,MAPK10
ENSG00000109381.20,ELF2
ENSG00000109390.13,NDUFC1
ENSG00000109424.4,UCP1
ENSG00000109436.8,TBC1D9
ENSG00000109445.11,ZNF330
ENSG00000109452.12,INPP4B
ENSG00000109458.8,GAB1
ENSG00000109466.14,KLHL2
ENSG00000109471.5,IL2
ENSG00000109472.14,CPE
ENSG00000109475.16,RPL34
ENSG00000109501.14,WFS1
ENSG00000109511.12,ANXA10
ENSG00000109519.13,GRPEL1
ENSG00000109534.17,GAR1
ENSG00000109536.12,FRG1
ENSG00000109572.14,CLCN3
ENSG00000109576.14,AADAT
ENSG00000109586.12,GALNT7
ENSG00000109606.13,DHX15
ENSG00000109610.6,SOD3
ENSG00000109618.12,SEPSECS
ENSG00000109625.19,CPZ
ENSG00000109654.16,TRIM2
ENSG00000109667.12,SLC2A9
ENSG00000109670.16,FBXW7
ENSG00000109674.4,NEIL3
ENSG00000109680.11,TBC1D19
ENSG00000109684.15,CLNK
ENSG00000109685.19,NSD2
ENSG00000109686.19,SH3D19
ENSG00000109689.18,STIM2
ENSG00000109705.8,NKX3-2
ENSG00000109736.15,MFSD10
ENSG00000109738.11,GLRB
ENSG00000109743.11,BST1
ENSG00000109756.9,RAPGEF2
ENSG00000109758.9,HGFAC
ENSG00000109762.16,SNX25
ENSG00000109771.15,LRP2BP
ENSG00000109775.11,UFSP2
ENSG00000109787.13,KLF3
ENSG00000109790.16,KLHL5
ENSG00000109794.13,FAM149A
ENSG00000109805.10,NCAPG
ENSG00000109814.12,UGDH
ENSG00000109819.9,PPARGC1A
ENSG00000109832.14,DDX25
ENSG00000109846.9,CRYAB
ENSG00000109851.7,DBX1
ENSG00000109854.14,HTATIP2
ENSG00000109861.17,CTSC
ENSG00000109881.17,CCDC34
ENSG00000109906.14,ZBTB16
ENSG00000109911.19,ELP4
ENSG00000109917.11,ZPR1
ENSG00000109919.10,MTCH2
ENSG00000109920.13,FNBP4
ENSG00000109927.11,TECTA
ENSG00000109929.10,SC5D
ENSG00000109943.9,CRTAM
ENSG00000109944.11,JHY
ENSG00000109956.13,B3GAT1
ENSG00000109971.14,HSPA8
ENSG00000109991.9,P2RX3
ENSG00000110002.16,VWA5A
ENSG00000110011.13,DNAJC4
ENSG00000110013.13,SIAE
ENSG00000110025.13,SNX15
ENSG00000110031.13,LPXN
ENSG00000110042.8,DTX4
ENSG00000110046.13,ATG2A
ENSG00000110047.18,EHD1
ENSG00000110048.12,OSBP
ENSG00000110057.8,UNC93B1
ENSG00000110060.9,PUS3
ENSG00000110063.10,DCPS
ENSG00000110066.15,KMT5B
ENSG00000110074.11,FOXRED1
ENSG00000110075.15,PPP6R3
ENSG00000110076.19,NRXN2
ENSG00000110077.14,MS4A6A
ENSG00000110079.18,MS4A4A
ENSG00000110080.20,ST3GAL4
ENSG00000110090.13,CPT1A
ENSG00000110092.4,CCND1
ENSG00000110104.13,CCDC86
ENSG00000110107.9,PRPF19
ENSG00000110108.10,TMEM109
ENSG00000110148.10,CCKBR
ENSG00000110169.11,HPX
ENSG00000110171.20,TRIM3
ENSG00000110172.12,CHORDC1
ENSG00000110195.14,FOLR1
ENSG00000110200.8,ANAPC15
ENSG00000110203.9,FOLR3
ENSG00000110218.9,PANX1
ENSG00000110237.5,ARHGEF17
ENSG00000110243.12,APOA5
ENSG00000110244.7,APOA4
ENSG00000110245.12,APOC3
ENSG00000110274.16,CEP164
ENSG00000110315.7,RNF141
ENSG00000110318.15,CEP126
ENSG00000110321.19,EIF4G2
ENSG00000110324.11,IL10RA
ENSG00000110328.6,GALNT18
ENSG00000110330.8,BIRC2
ENSG00000110344.10,UBE4A
ENSG00000110367.13,DDX6
ENSG00000110375.3,UPK2
ENSG00000110395.7,CBL
ENSG00000110400.11,NECTIN1
ENSG00000110422.12,HIPK3
ENSG00000110427.17,KIAA1549L
ENSG00000110429.14,FBXO3
ENSG00000110435.12,PDHX
ENSG00000110436.13,SLC1A2
ENSG00000110442.12,COMMD9
ENSG00000110446.11,SLC15A3
ENSG00000110448.11,CD5
ENSG00000110455.14,ACCS
ENSG00000110484.7,SCGB2A2
ENSG00000110492.15,MDK
ENSG00000110497.14,AMBRA1
ENSG00000110514.19,MADD
ENSG00000110536.14,PTPMT1
ENSG00000110583.13,NAA40
ENSG00000110619.18,CARS1
ENSG00000110628.16,SLC22A18
ENSG00000110651.12,CD81
ENSG00000110660.15,SLC35F2
ENSG00000110665.12,C11orf21
ENSG00000110675.13,ELMOD1
ENSG00000110680.13,CALCA
ENSG00000110693.18,SOX6
ENSG00000110696.10,C11orf58
ENSG00000110697.13,PITPNM1
ENSG00000110700.7,RPS13
ENSG00000110711.10,AIP
ENSG00000110713.17,NUP98
ENSG00000110717.13,NDUFS8
ENSG00000110719.10,TCIRG1
ENSG00000110721.12,CHKA
ENSG00000110723.12,EXPH5
ENSG00000110756.18,HPS5
ENSG00000110768.12,GTF2H1
ENSG00000110777.12,POU2AF1
ENSG00000110786.18,PTPN5
ENSG00000110799.14,VWF
ENSG00000110801.14,PSMD9
ENSG00000110811.20,P3H3
ENSG00000110841.14,PPFIBP1
ENSG00000110844.14,PRPF40B
ENSG00000110848.8,CD69
ENSG00000110851.12,PRDM4
ENSG00000110852.4,CLEC2B
ENSG00000110871.15,COQ5
ENSG00000110876.10,SELPLG
ENSG00000110880.11,CORO1C
ENSG00000110881.12,ASIC1
ENSG00000110887.8,DAO
ENSG00000110888.17,CAPRIN2
ENSG00000110900.16,TSPAN11
ENSG00000110906.13,KCTD10
ENSG00000110911.16,SLC11A2
ENSG00000110917.8,MLEC
ENSG00000110921.14,MVK
ENSG00000110925.7,CSRNP2
ENSG00000110931.19,CAMKK2
ENSG00000110934.13,BIN2
ENSG00000110944.9,IL23A
ENSG00000110955.9,ATP5F1B
ENSG00000110958.16,PTGES3
ENSG00000110975.8,SYT10
ENSG00000110987.9,BCL7A
ENSG00000111011.18,RSRC2
ENSG00000111012.10,CYP27B1
ENSG00000111046.4,MYF6
ENSG00000111052.7,LIN7A
ENSG00000111057.11,KRT18
ENSG00000111058.8,ACSS3
ENSG00000111077.18,TNS2
ENSG00000111087.10,GLI1
ENSG00000111110.12,PPM1H
ENSG00000111142.14,METAP2
ENSG00000111144.10,LTA4H
ENSG00000111145.8,ELK3
ENSG00000111181.12,SLC6A12
ENSG00000111186.13,WNT5B
ENSG00000111196.10,MAGOHB
ENSG00000111199.12,TRPV4
ENSG00000111203.13,ITFG2
ENSG00000111206.13,FOXM1
ENSG00000111215.12,PRR4
ENSG00000111218.12,PRMT8
ENSG00000111224.14,PARP11
ENSG00000111229.16,ARPC3
ENSG00000111231.9,GPN3
ENSG00000111237.19,VPS29
ENSG00000111241.2,FGF6
ENSG00000111245.17,MYL2
ENSG00000111247.15,RAD51AP1
ENSG00000111249.14,CUX2
ENSG00000111252.11,SH2B3
ENSG00000111254.8,AKAP3
ENSG00000111261.14,MANSC1
ENSG00000111262.6,KCNA1
ENSG00000111266.9,DUSP16
ENSG00000111269.3,CREBL2
ENSG00000111271.15,ACAD10
ENSG00000111275.13,ALDH2
ENSG00000111276.11,CDKN1B
ENSG00000111291.8,GPRC5D
ENSG00000111300.10,NAA25
ENSG00000111305.19,GSG1
ENSG00000111319.13,SCNN1A
ENSG00000111321.11,LTBR
ENSG00000111325.16,OGFOD2
ENSG00000111328.7,CDK2AP1
ENSG00000111331.13,OAS3
ENSG00000111335.13,OAS2
ENSG00000111339.12,ART4
ENSG00000111341.10,MGP
ENSG00000111344.11,RASAL1
ENSG00000111348.9,ARHGDIB
ENSG00000111358.14,GTF2H3
ENSG00000111361.13,EIF2B1
ENSG00000111364.16,DDX55
ENSG00000111371.16,SLC38A1
ENSG00000111404.7,RERGL
ENSG00000111405.9,ENDOU
ENSG00000111412.6,SPRING1
ENSG00000111424.12,VDR
ENSG00000111432.4,FZD10
ENSG00000111445.14,RFC5
ENSG00000111450.14,STX2
ENSG00000111452.13,ADGRD1
ENSG00000111481.10,COPZ1
ENSG00000111490.15,TBC1D30
ENSG00000111530.13,CAND1
ENSG00000111536.5,IL26
ENSG00000111537.5,IFNG
ENSG00000111540.16,RAB5B
ENSG00000111554.14,MDM1
ENSG00000111581.10,NUP107
ENSG00000111596.14,CNOT2
ENSG00000111602.12,TIMELESS
ENSG00000111605.18,CPSF6
ENSG00000111615.14,KRR1
ENSG00000111639.8,MRPL51
ENSG00000111640.15,GAPDH
ENSG00000111641.12,NOP2
ENSG00000111642.16,CHD4
ENSG00000111644.8,ACRBP
ENSG00000111647.13,UHRF1BP1L
ENSG00000111652.10,COPS7A
ENSG00000111653.20,ING4
ENSG00000111664.11,GNB3
ENSG00000111665.12,CDCA3
ENSG00000111666.11,CHPT1
ENSG00000111667.14,USP5
ENSG00000111669.15,TPI1
ENSG00000111670.16,GNPTAB
ENSG00000111671.10,SPSB2
ENSG00000111674.9,ENO2
ENSG00000111676.15,ATN1
ENSG00000111678.11,C12orf57
ENSG00000111679.17,PTPN6
ENSG00000111684.11,LPCAT3
ENSG00000111696.12,NT5DC3
ENSG00000111700.13,SLCO1B3
ENSG00000111701.7,APOBEC1
ENSG00000111704.11,NANOG
ENSG00000111707.12,SUDS3
ENSG00000111711.10,GOLT1B
ENSG00000111716.14,LDHB
ENSG00000111725.11,PRKAB1
ENSG00000111726.13,CMAS
ENSG00000111727.12,HCFC2
ENSG00000111728.10,ST8SIA1
ENSG00000111729.14,CLEC4A
ENSG00000111731.12,C2CD5
ENSG00000111732.11,AICDA
ENSG00000111737.12,RAB35
ENSG00000111752.11,PHC1
ENSG00000111775.3,COX6A1
ENSG00000111783.13,RFX4
ENSG00000111785.21,RIC8B
ENSG00000111786.9,SRSF9
ENSG00000111788.10,AC009533.1
ENSG00000111790.14,FGFR1OP2
ENSG00000111796.4,KLRB1
ENSG00000111799.21,COL12A1
ENSG00000111801.16,BTN3A3
ENSG00000111802.14,TDP2
ENSG00000111816.8,FRK
ENSG00000111817.19,DSE
ENSG00000111832.13,RWDD1
ENSG00000111834.13,RSPH4A
ENSG00000111837.12,MAK
ENSG00000111843.14,TMEM14C
ENSG00000111845.5,PAK1IP1
ENSG00000111846.19,GCNT2
ENSG00000111850.11,SMIM8
ENSG00000111859.17,NEDD9
ENSG00000111860.14,CEP85L
ENSG00000111863.13,ADTRP
ENSG00000111875.8,ASF1A
ENSG00000111877.17,MCM9
ENSG00000111879.20,FAM184A
ENSG00000111880.16,RNGTT
ENSG00000111885.7,MAN1A1
ENSG00000111886.11,GABRR2
ENSG00000111897.7,SERINC1
ENSG00000111906.18,HDDC2
ENSG00000111907.21,TPD52L1
ENSG00000111911.7,HINT3
ENSG00000111912.20,NCOA7
ENSG00000111913.20,RIPOR2
ENSG00000111961.18,SASH1
ENSG00000111962.8,UST
ENSG00000111981.5,ULBP1
ENSG00000112029.10,FBXO5
ENSG00000112031.16,MTRF1L
ENSG00000112033.14,PPARD
ENSG00000112038.18,OPRM1
ENSG00000112039.5,FANCE
ENSG00000112041.13,TULP1
ENSG00000112053.14,SLC26A8
ENSG00000112062.11,MAPK14
ENSG00000112077.17,RHAG
ENSG00000112078.14,KCTD20
ENSG00000112079.9,STK38
ENSG00000112081.17,SRSF3
ENSG00000112096.19,SOD2
ENSG00000112110.10,MRPL18
ENSG00000112115.7,IL17A
ENSG00000112116.10,IL17F
ENSG00000112118.20,MCM3
ENSG00000112130.17,RNF8
ENSG00000112137.18,PHACTR1
ENSG00000112139.16,MDGA1
ENSG00000112144.16,CILK1
ENSG00000112146.17,FBXO9
